realisation,vstrike_fwd,lx_fwd,z,eta,converged
0,2.501,7.35e-05,1.0012,0.3860,True
1,2.336,9.83e-06,1.0012,0.3860,True
2,2.227,6.85e-05,1.0012,0.3860,True
3,2.536,5.86e-05,1.0012,0.3860,True
4,2.205,2.03e-05,1.0012,0.3860,True
5,2.794,1.15e-05,1.0012,0.3860,True
6,2.563,1.90e-05,1.0012,0.3860,True
7,2.482,2.63e-05,1.0012,0.3860,True
8,1.693,5.38e-05,1.0012,0.3860,True
9,1.359,9.67e-05,1.3240,0.3860,True
10,1.395,8.10e-06,1.0012,0.3860,True
11,1.740,5.72e-06,1.0012,0.3860,True
12,2.594,2.34e-05,1.0012,0.3860,True
13,0.990,7.80e-05,1.3500,0.3872,False
14,2.471,2.34e-05,1.0012,0.3860,True
15,1.582,1.05e-05,1.0012,0.3860,True
16,2.588,8.92e-06,1.0012,0.3860,True
17,2.015,9.14e-06,1.0012,0.3860,True
18,2.015,5.07e-06,1.0012,0.3860,True
19,3.031,7.96e-06,1.0012,0.3860,True
20,2.433,6.99e-05,1.0012,0.3860,True
21,2.538,6.33e-05,1.0012,0.3860,True
22,2.546,4.62e-05,1.0012,0.3860,True
23,1.572,2.53e-05,1.0012,0.3860,True
#verdict,RECOVERY-FORBIDDEN
#all_direct_z,1.3907
#forward_resonant_z,1.3905
#mc_eta_mean,0.3861
#mc_frac_recovering,0.0
#mc_frac_pump_broken,91.7
#eta_070,not realizable
#island_floor,0.45-0.50
