R_ohm,Q,f_rec,island_tax_resonant_mJ,island_recovered_mJ,combined_tax_mJ,tax_drop_pct,tier
1,1457.2,0.9978,0.0095,4.3973,9.7973,30.98,SOLVER
2,728.6,0.9957,0.0190,4.3878,9.8067,30.91,SOLVER
5,291.4,0.9893,0.0472,4.3596,9.8350,30.71,SOLVER
10,145.7,0.9787,0.0940,4.3128,9.8818,30.38,SOLVER
20,72.9,0.9578,0.1860,4.2208,9.9737,29.74,SOLVER
50,29.1,0.8978,0.4504,3.9564,10.2382,27.87,SOLVER
100,14.6,0.8060,0.8551,3.5517,10.6428,25.02,SOLVER
200,7.3,0.6491,1.5464,2.8604,11.3342,20.15,SOLVER
#island_tax_direct_mJ,4.4068
#doubler_tax_mJ,9.7878
#island_fraction,0.3105
#verdict,RESONANT-TRANSFER-MODELED
