corner,Q_loaded,f0_kHz,rpm,PRF_Hz,M,L_implied_mH,ge10,ge50
opt,700,326.0,3000,300,0.103,0.12,False,False
opt,700,326.0,10000,1000,0.342,0.12,False,False
opt,700,326.0,30000,3000,1.025,0.12,False,False
opt,700,100.0,3000,300,0.334,1.33,False,False
opt,700,100.0,10000,1000,1.114,1.33,False,False
opt,700,100.0,30000,3000,3.342,1.33,False,False
opt,700,50.0,3000,300,0.668,5.30,False,False
opt,700,50.0,10000,1000,2.228,5.30,False,False
opt,700,50.0,30000,3000,6.685,5.30,False,False
opt,700,10.0,3000,300,3.342,132.62,False,False
opt,700,10.0,10000,1000,11.141,132.62,True,False
opt,700,10.0,30000,3000,33.423,132.62,True,False
opt,700,5.0,3000,300,6.685,530.48,False,False
opt,700,5.0,10000,1000,22.282,530.48,True,False
opt,700,5.0,30000,3000,66.845,530.48,True,True
opt,700,2.0,3000,300,16.711,3315.48,True,False
opt,700,2.0,10000,1000,55.704,3315.48,True,True
opt,700,2.0,30000,3000,167.113,3315.48,True,True
opt,700,1.0,3000,300,33.423,13261.94,True,False
opt,700,1.0,10000,1000,111.408,13261.94,True,True
opt,700,1.0,30000,3000,334.225,13261.94,True,True
mid,400,326.0,3000,300,0.059,0.12,False,False
mid,400,326.0,10000,1000,0.195,0.12,False,False
mid,400,326.0,30000,3000,0.586,0.12,False,False
mid,400,100.0,3000,300,0.191,1.33,False,False
mid,400,100.0,10000,1000,0.637,1.33,False,False
mid,400,100.0,30000,3000,1.910,1.33,False,False
mid,400,50.0,3000,300,0.382,5.30,False,False
mid,400,50.0,10000,1000,1.273,5.30,False,False
mid,400,50.0,30000,3000,3.820,5.30,False,False
mid,400,10.0,3000,300,1.910,132.62,False,False
mid,400,10.0,10000,1000,6.366,132.62,False,False
mid,400,10.0,30000,3000,19.099,132.62,True,False
mid,400,5.0,3000,300,3.820,530.48,False,False
mid,400,5.0,10000,1000,12.732,530.48,True,False
mid,400,5.0,30000,3000,38.197,530.48,True,False
mid,400,2.0,3000,300,9.549,3315.48,False,False
mid,400,2.0,10000,1000,31.831,3315.48,True,False
mid,400,2.0,30000,3000,95.493,3315.48,True,True
mid,400,1.0,3000,300,19.099,13261.94,True,False
mid,400,1.0,10000,1000,63.662,13261.94,True,True
mid,400,1.0,30000,3000,190.986,13261.94,True,True
pess,200,326.0,3000,300,0.029,0.12,False,False
pess,200,326.0,10000,1000,0.098,0.12,False,False
pess,200,326.0,30000,3000,0.293,0.12,False,False
pess,200,100.0,3000,300,0.095,1.33,False,False
pess,200,100.0,10000,1000,0.318,1.33,False,False
pess,200,100.0,30000,3000,0.955,1.33,False,False
pess,200,50.0,3000,300,0.191,5.30,False,False
pess,200,50.0,10000,1000,0.637,5.30,False,False
pess,200,50.0,30000,3000,1.910,5.30,False,False
pess,200,10.0,3000,300,0.955,132.62,False,False
pess,200,10.0,10000,1000,3.183,132.62,False,False
pess,200,10.0,30000,3000,9.549,132.62,False,False
pess,200,5.0,3000,300,1.910,530.48,False,False
pess,200,5.0,10000,1000,6.366,530.48,False,False
pess,200,5.0,30000,3000,19.099,530.48,True,False
pess,200,2.0,3000,300,4.775,3315.48,False,False
pess,200,2.0,10000,1000,15.915,3315.48,True,False
pess,200,2.0,30000,3000,47.746,3315.48,True,False
pess,200,1.0,3000,300,9.549,13261.94,False,False
pess,200,1.0,10000,1000,31.831,13261.94,True,False
pess,200,1.0,30000,3000,95.493,13261.94,True,True
