fire,Vcr_before_kV,Vcr_after_kV,Vcr_clamped_kV,Qkick_uC,dE_CR_mJ,Wcoll_mJ,Cfire_pF,E_resid_mJ,E_arc_mJ
1,0.0000,3.2423,3.2423,2.5582,4.1472,12.4492,69.755,9.6963,0.08954
2,3.2423,6.0643,6.0643,2.2266,10.3610,14.7109,60.024,5.7591,0.07793
3,6.0643,8.6003,8.6003,2.0009,14.6709,16.6794,53.525,3.4278,0.07003
4,8.6003,10.9245,10.9245,1.8338,17.9023,18.4483,48.779,1.9728,0.06418
5,10.9245,13.0835,13.0835,1.7035,20.4482,20.0696,45.113,1.0538,0.05962
6,13.0835,15.1088,15.0000,1.5979,22.5248,21.5756,42.169,0.4878,0.05593
7,15.0000,16.9197,15.0000,1.5147,24.1738,22.9125,39.860,0.1793,0.05301
8,15.0000,16.9197,15.0000,1.5147,24.1738,22.9125,39.860,0.1793,0.05301
9,15.0000,16.9197,15.0000,1.5147,24.1738,22.9125,39.860,0.1793,0.05301
#nFiresToReach,6
#Vdc_kV,15.000
#Vripple_kV,20.000
#etaMachine,0.4447
#corner_opt,nFires,6,etaMachine,0.4447
#corner_mid,nFires,6,etaMachine,0.4447
#corner_pess,nFires,6,etaMachine,0.4448
